contract_name,hash,year_month,Match_Date,Matched_Attack_Type,Matched_Loss_Amount,predicted_label
WGPT_exp,0x258e53526e5a48feb1e4beadbf7ee53e07e816681ea297332533371032446bfd,23-Jul,20241115,Business Logic Vulnerability,,1
MARS_exp,0x25e2af0a55581d5629a933af9fedd3c70e6d0c320f0b72700ca80e5cdd36c80b,24-Apr,20240416,Bad Reflection,,1
HedgeyFinance_exp,0x2606d459a50ca4920722a111745c2eeced1d8a01ff25ee762e22d5d4b1595739,24-Apr,20240419,Logic Flaw,,1
MIMSpell2_exp,0x26a83db7e28838dd9fee6fb7314ae58dcc6aee9a20bf224c386ff5e80f7e4cf2,24-Jan,20240124,Business Logic Flaw,,1
Harmony_multisig_exp,0x27981c7289c372e601c9475e5b5466310be18ed10b59d1ac840145f6e7804c97,22-Jun,20220524,Skim Token Balance,,1
MahaLend_exp,0x2881e839d4d562fad5356183e4f6a9d427ba6f475614ce8ef64dbfe557a4a2cc,23-Nov,20231111,Donate Inflation ExchangeRate & Rounding Error,,1
TeamFinance_exp,0x2972f75d5926f8f948ab6a0cabc517a05f0da5b53e20f670591afbaa501aa436,22-Oct,20221027,Liquidity Migration Exploit,,1
Balancer_exp,0x2a027c8b915c3737942f512fc5d26fd15752d0332353b3059de771a35a606c2d,23-Aug,20230704,Donate Inflation ExchangeRate & Rounding Error,,1
KR_exp,0x2abf871eb91d03bc8145bf2a415e79132a103ae9f2b5bbf18b8342ea9207ccd7,23-Nov,20231106,Precision Loss,,1
XAI_exp,0x2b251e456c434992b9ac7ec56dc166550c4cd7db3adefbf7eb3ab91cef55f9bf,23-Nov,20231115,Price Manipulation,,1
Burntbubba_exp,0x2b6d0af0dc513a15e325703405739057f9de6ef3f99934b957653b8a3fade4c6,23-Nov,20231123,Business Logic Flaw,,1
GDS_exp,0x2bb704e0d158594f7373ec6e53dc9da6c6639f269207da8dab883fc3b5bf6694,23-Jan,20230103,Business Logic Flaw,,1
GPU_exp,0x2c0ada695a507d7a03f4f308f545c7db4847b2b2c82de79e702d655d8c95dadb,24-May,20240508,Self-transfer,,1
Caterpillar_Coin_CUT_exp,0x2c123d08ca3d50c4b875c0b5de1b5c85d0bf9979dffbf87c48526e3a67396827,24-Sep,20240924,Reentrancy,,1
MIMSpell_exp,0x2c9f87e285026601a2c8903cf5f10e5b3655fbd0264490c41514ce073c42a9c3,23-Jun,20240130,Precision Loss,,1
DKP_exp,0x2d31e45dce58572a99c51357164dc5283ff0c02d609250df1e6f4248bd62ee01,23-Mar,20230309,Flashloan Price Manipulation,,1
SHOCO_exp,0x2e832f044b4a0a0b8d38166fe4d781ab330b05b9efa9e72a7a0895f1b984084b,23-Jan,20230119,Reflection Token,,1
PineProtocol_exp,0x2f328016764ecf1f57fda0f5490087a5ddba83706b51cf518bdbd7e65ae2383b,23-Dec,20231222,Business Logic Flaw,,1
KEST_exp,0x2fcee04e64e54f3dd9c15db9ae44e4cbdd57ab4c6f01941a3acf470dc60bfc16,23-Dec,20231216,Business Logic Flaw,,1
Freedom_exp,0x309523343cc1bb9d28b960ebf83175fac941b4a590830caccff44263d9a80ff0,24-Jan,20240110,Lack of Access Control,,1
WaultFinance_exp,0x31262f15a5b82999bf8d9d0f7e58dcb1656108e6031a2797b612216a95e1670e,21-Aug,20210804,Flash Loan Price Manipulation,,1
MEVbot_28d9_exp,0x313d23bdd9277717e3088f32c976479c09d4b8a94d5d94deb835d157fd0850ce,22-Dec,20221211,Insufficient Validation,,1
MIC_exp,0x316c35d483b72700e6f4984650d217304146b3732bb148e32fa7f8017843eb24,24-Jan,20240102,Business Logic Flaw,,1
BonqDAO_exp,0x31957ecc43774d19f54d9968e95c69c882468b46860f921668f2c55fadd51b19,23-Feb,20221109,Arbitrary External Call Vulnerability,,1
kTAF_exp,0x325999373f1aae98db2d89662ff1afbe0c842736f7564d16a7b52bf5c777d3a4,23-Oct,20231019,CompoundV2 Inflation Attack,,1
Umbrella_exp,0x33479bcfbc792aa0f8103ab0d7a3784788b5b0e1467c81ffbed1b7682660b4fa,22-Mar,20220320,Underflow,,0
deus_exp,0x33e48143c6ea17476eeabfa202d8034190ea3f2280b643e2570c54265fe33c98,22-Apr,20220422,Oracle Price Manipulation,,1
MaestroRouter2_exp,0x33f6adf410bbd0ae08b0cd44410de1e5b28e516434567113982fcac36ed9e1a4,23-Oct,20231024,Arbitrary External Call,,0
BNO_exp,0x33fed54de490797b99b2fc7a159e43af57e9e6bdefc2c2d052dc814cfe0096b9,23-Jul,20230202,Price Oracle Manipulation,,1
MyAi_exp,0x346f65ac333eb6d69886f5614aaf569a561a53a8d93db4384bd7c0bec15ae9f6,23-Jun,20230623,Business Logic Flaw,,0
Paraswap_exp,0x35a73969f582872c25c96c48d8bb31c23eab8a49c19282c67509b96186734e60,24-Mar,20240320,Incorrect Access Control,,1
MEVa47b_exp,0x35ecf595864400696853c53edf3e3d60096639b6071cadea6076c9c6ceb921c1,22-Oct,20221014,MEVBot a47b,,1
Telcoin_exp,0x35f50851c3b754b4565dc3e69af8f9bdb6555edecc84cf0badf8c1e8141d902d,23-Dec,20231226,Storage Collision,,1
GAX_exp,0x368f842e79a10bb163d98353711be58431a7cd06098d6f4b6cbbcd4c77b53108,24-Jul,20240711,Lack of Access Control,,1
Annex_exp,0x3757d177482171dcfad7066c5e88d6f0f0fe74b28f32e41dd77137cad859c777,22-Nov,20221119,Verify Flashloan Callback,,1
Conic02_exp,0x37acd17a80a5f95728459bfea85cb2e1f64b4c75cf4a4c8dcb61964e26860882,23-Jul,20230722,Price Manipulation,,1
QTN_exp,0x37cb8626e45f0749296ef080acb218e5ccc7efb2ae4d39c952566dc378ca1c4c,23-Jan,20230118,Business Logic Flaw,,1
Carson_exp,0x37d921a6bb0ecdd8f1ec918d795f9c354727a3ff6b0dba98a512fceb9662a3ac,23-Jul,20230726,Price Manipulation,,1
GROKD_exp,0x383dbb44a91687b2b9bbd8b6779957a198d114f24af662776f384569b84fc549,24-Apr,20240412,Lack of Access Control,,1
YYS_exp,0x397a09af6494c0bfcd89e010f5dd65d90f3ee1cf1ff813ce5b0c1d42a1c8dec9,24-Jun,20230602,Business Logic Flaw,,1
IPC_exp,0x3a3683119e1801821faa15c319cb9c8fb3fcf6ee92b1904a829d82c432e09a44,25-Jan,20250107,Logic Flaw,~590k USDT,1
MetaDragon_exp,0x3ad998a01ad1f1bbe6dba6a08e658c1749dabfa4a07da20ded3c73bcd6970d20,24-May,20240529,Lack of Access Control,,1
Uwerx_exp,0x3b19e152943f31fe0830b67315ddc89be9a066dc89174256e17bc8c2d35b5af8,23-Aug,20230802,Fault Logic,,1
DBW_exp,0x3b472f87431a52082bae7d8524b4e0af3cf930a105646259e1249f2218525607,23-Mar,20230323,Oracle Price Manipulation,,1
Burner_exp,0x3bba4fb6de00dd38df3ad68e51c19fe575a95a296e0632028f101c5199b6f714,24-May,20231129,Price Manipulation,,1
Audius_exp,0x3c09c6306b67737227edc24c663462d870e7c2bf39e9ab66877a980c900dd5d5,22-Jul,20220326,(¹¥»÷ÀàÐÍÎª¿Õ),,0
Jimbo_exp,0x3c6e053faecd331883641c1d23c9d9d37d065e4f9c4086e94a3c34bf8702618a,23-May,20230529,Protocol Specific Price Manipulation,,1
Kashi_exp,0x3d163bfbec5686d428a6d43e45e2626a220cc4fcfac7620c620b82c1f2537c78,22-Nov,20221108,Price Caching Design Defect,,1
