contract_name,hash,year_month,匹配日期,匹配攻击类型
Axioma_exp,0x05eabbb665a5b99490510d0b3f93565f394914294ab4d609895e525b43ff16f2,23-Apr,20230621,Lack Slippage Protection
BRAND_exp,0x19ef4febcd272643642925d5d7e9ab8fd3ed8785c5e3268f5b6fee44ae6b4a34,23-Nov,20230621,Reflection Tokens
BH_exp,0xc11e4020c0830bcf84bfa197696d7bfad9ff503166337cb92ea3fade04007662,23-Oct,20230630,V3Migrator Exploit
AUR_exp,0x7f031e8543e75bd5c85168558be89d2e08b7c02a32d07d76517cdbb10e279782,22-Nov,20230703,Invalid Signature Verification
Balancer_exp,0x2a027c8b915c3737942f512fc5d26fd15752d0332353b3059de771a35a606c2d,23-Aug,20230704,Donate Inflation ExchangeRate & Rounding Error
CIVNFT_exp,0x93a033917fcdbd5fe8ae24e9fe22f002949cba2f621a1c43a54f6519479caceb,23-Jul,20230708,Lack of Access Control
Civfund_exp,0xc42fc0e22a0f60cc299be80eb0c0ddce83c21c14a3dddd8430628011c3e20d6b,23-Jul,20230708,Lack of Access Control
ApeDAO_exp,0x8d35dfd9968ce61fb969ffe8dcc29eeeae864e466d2cb0b7d26ce63644691994,23-Jul,20230718,Business Logic Flaw
Bmizapper_exp,0x97201900198d0054a2f7a914f5625591feb6a18e7fc6bb4f0c964b967a6c15f6,24-Jan,20230718,Invalid Emergency Withdraw Mechanism
Conic_exp,0x8b74995d1d61d3d7547575649136b8765acb22882960f0636941c44ec7bbe146,23-Jul,20230721,Read-only Reentrancy & Misconfiguration
Conic02_exp,0x37acd17a80a5f95728459bfea85cb2e1f64b4c75cf4a4c8dcb61964e26860882,23-Jul,20230722,Price Manipulation
Carson_exp,0x37d921a6bb0ecdd8f1ec918d795f9c354727a3ff6b0dba98a512fceb9662a3ac,23-Jul,20230726,Price Manipulation
GYMNET_exp,0x7fe96c00880b329aa0fcb00f0ef3a0766c54e13965becf9cc5e0df6fbd0deca6,23-Jul,20230731,Insufficient Validation
CurveBurner_exp,0xd493c73397952049644c531309df3dd4134bf3db1e64eb6f0b68b016ee0bffde,23-Aug,20230802,Lack Slippage Protection
EarningFram_exp,0x6e6e556a5685980317cb2afdb628ed4a845b3cbd1c98bdaffd0561cb2c4790fa,23-Aug,20230809,Reentrancy
BrahTOPG_exp,0xeaef2831d4d6bca04e4e9035613be637ae3b0034977673c1c2f10903926f29c0,22-Nov,20230819,Price Manipulation
EHIVE_exp,0xad818ec910def08c70ac519ab0fffa084b4178014a91cd8aa2f882d972a511c1,23-Aug,20230821,Business Logic Flaw
EHIVE_exp,0xd9156f507c701a09d3312e1987383c7c882df50b3127e1adfd74d74052642114,23-Aug,20230822,Business Logic Flaw
GSS_exp,0x4f8cb9efb3cc9930bd38af5f5d34d15ce683111599a80df7ae50b003e746e336,23-Aug,20230824,Skim Token Balance
BadGuysbyRPF_exp,0xb613c68b00c532fe9b28a50a91c021d61a98d907d0217ab9b44cd8d6ae441d9f,22-Sep,20230827,Rounding Error & Business Logic Flaw
EAC_exp,0x477f9ee698ac8ae800ffa012ab52fd8de39b58996245c5e39a4233c1ae5f1baa,23-Aug,20230829,Price Manipulation
DAppSocial_exp,0xbd72bccec6dd824f8cac5d9a3a2364794c9272d7f7348d074b580e3c6e44312e,23-Sep,20230902,Business Logic Flaw
FloorDAO_exp,0x1274b32d4dfacd2703ad032e8bd669a83f012dde9d27ed92e4e7da0387adafe4,23-Sep,20230905,Rebasing Logic Issue
HeavensGate_exp,0x8e1b0ab098c4cc5f632e00b0842b5f825bbd15ded796d4a59880bb724f6c5372,23-Sep,20230905,Rebasing Logic Issue
HeavensGate_exp,0xe28ca1f43036f4768776805fb50906f8172f75eba3bf1d9866bcd64361fda834,23-Sep,20230906,Rebasing Logic Issue
HCT_exp,0x84bd77f25cc0db493c339a187c920f104a69f89053ab2deabb93c35220e6dfc0,23-Sep,20230907,Price Manipulation
APIG_exp,0x66dee84591aeeba6e5f31e12fe728f2ddc79a06426036793487a980c3b952947,23-Sep,20230908,Business Logic Flaw
BEGO_exp,0x9f4ef3cc55b016ea6b867807a09f80d1b2e36f6cd6fccfaf0182f46060332c57,22-Oct,20230909,Business Logic Flaw
0DEX_exp,0x00b375f8e90fc54c1345b33c686977ebec26877e2c8cac165429927a6c9bdbec,23-Sep,20230911,Parameter Manipulation
CEXISWAP_exp,0xede72a74d8398875b42d92c550539d72c830d3c3271a7641ee1843dc105de59e,23-Sep,20230921,Incorrect Access Control
DEXRouter_exp,0xf77c5904da98d3d4a6e651d0846d35545ef5ca0b969132ae81a9c63e1efc2113,23-Sep,20230929,Arbitrary External Call
FireBirdPair_exp,0x96d80c609f7a39b45f2bb581c6ba23402c20c2b6cd528317692c31b8d3948328,23-Sep,20230930,Lack Slippage Protection
DePayRouter_exp,0x9a036058afb58169bfa91a826f5fcf4c0a376e650960669361d61bef99205f35,23-Oct,20231005,Business Logic Flaw
BEVO_exp,0xb97502d3976322714c828a890857e776f25c79f187a32e2d548dda1c315d2a7d,23-Jan,20231011,Price Manipulation
BEARNDAO_exp,0x51913be3f31d5ddbfc77da789e5f9653ed6b219a52772309802226445a1edd5f,23-Dec,20231013,Price Manipulation
Hopelend_exp,0x1a7ee0a7efc70ed7429edef069a1dd001fbff378748d91f17ab1876dc6d10392,23-Oct,20231018,Div Precision Loss
FPR_exp,0x1b66170220287bd90f72a97368f8dea2420a24c9585e9f39bf236af6d2a7dde6,22-Dec,20231018,Div Precision Loss
FPR_exp,0x1f8e814029a073c52a8668e6ff5bb3264445a8b29886cc9e3ca8ed5f89ccacd3,22-Dec,20231019,Div Precision Loss
FPR_exp,0x43da4322052b045f442cdfc03bcccc797d3bba467beda501222c35d8fd0ebd81,22-Dec,20231020,Div Precision Loss
FPR_exp,0xec1b969e1435a1449dd5179404c54b5c60e49f15a1bf6bf8922e8d2978102f4a,22-Dec,20231021,Div Precision Loss
Astrid_exp,0x8af9b5fb3e2e3df8659ffb2e0f0c1f4c90d5a80f4f6fccef143b823ce673fb60,23-Oct,20231028,Business Logic Flaw
UniBot_exp,0xcbe521aea28911fe9983030748028e12541e347b8b6b974d026fa5065c22f0cf,23-Oct,20231031,Arbitrary External Call
BRA_exp,0x4e5b2efa90c62f2b62925ebd7c10c953dc73c710ef06695eac3f36fe0f6b9348,23-Jan,20231102,Lack of Access Control
3913_exp,0x8163738d6610ca32f048ee9d30f4aa1ffdb3ca1eddf95c0eba086c3e936199ed,23-Nov,20231102,Deflationary Token Attack
BRA_exp,0x6759db55a4edec4f6bedb5691fc42cf024be3a1a534ddcc7edd471ef205d4047,23-Jan,20231103,Lack of Access Control
RBalancer_exp,0xbf5b2d22fa88965ddfc6e6d685fc7cfc683340c49e126386759ed9e4027b1415,23-Nov,20231107,Business Logic Flaw
grok_exp,0x3e9bcee951cdad84805e0c82d2a1e982e71f2ec301a1cbd344c832e0acaee813,23-Nov,20231110,Lack of Slippage Protection
EHX_exp,0x8b528372b743b4b8c4eb0904c96529482653187c19e13afaa22f3ba4e08fbfbb,23-Nov,20231115,Lack of Slippage Control
